2025/08/07 22:09:25 main.go:42: 🚀 Server läuft auf Port 8080
2025/08/07 22:09:25 main.go:43: http://localhost:8080
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 88.815µs | Statuscode: 200 | Antwortgröße: 54750 Bytes
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: / | RemoteAddr: [::1]:38694
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 132.796µs | Statuscode: 200 | Antwortgröße: 3757 Bytes
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /assets/style/style.css | RemoteAddr: [::1]:38694
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 68.098µs | Statuscode: 200 | Antwortgröße: 1446 Bytes
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /assets/banner.png | RemoteAddr: [::1]:38656
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /assets/js/script.js | RemoteAddr: [::1]:38672
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 53.298µs | Statuscode: 200 | Antwortgröße: 1162 Bytes
2025/08/07 22:14:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:14:48 CEST | Dauer: 886.492µs | Statuscode: 200 | Antwortgröße: 3268666 Bytes
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /assets/js/utils.js | RemoteAddr: [::1]:38656
2025/08/07 22:14:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:14:48 CEST | Methode: GET | URL: /assets/js/calculator.js | RemoteAddr: [::1]:38672
